Hour,BTC_Price,Delta_Options,Delta_Futures,Delta_Total,Put_Price,Call_Price,Option_MTM,RPL_Futures,UPL_Futures,Total_PNL_BeforeOptionFee,Total_PNL
0,94000.0,0.013199031135781053,0.0,0.013199031135781053,1968.3786935961011,1569.481713491598,0.0,0.0,0.0,0.0,-1.0613581221263095
1,94219.5002461717,0.004342356924214336,0.0,0.004342356924214336,1917.3475097989667,1612.7961550199327,7.716742268799862,0.0,0.0,7.716742268799862,6.655384146673553
2,94158.2579475681,0.006920889042397987,0.0,0.006920889042397987,1927.8925346780045,1596.805190046931,13.162682362763462,0.0,0.0,13.162682362763462,12.101324240637153
3,94444.95633476993,-0.00465839220174602,0.0,-0.00465839220174602,1863.3176432865012,1655.251863020792,19.29090078040599,0.0,0.0,19.29090078040599,18.22954265827968
4,95121.1760220955,-0.03195058993287317,0.0,-0.03195058993287317,1721.478502224582,1803.6868077432227,12.695097119894399,0.0,0.0,12.695097119894399,11.63373899776809
5,95016.46840990486,-0.027649798138301207,0.0,-0.027649798138301207,1739.716870324667,1776.447587805016,21.695948958015833,0.0,0.0,21.695948958015833,20.634590835889522
6,94911.88339143814,-0.02334641716033567,0.0,-0.02334641716033567,1758.1172653645365,1749.5082573499574,30.234884373205205,0.0,0.0,30.234884373205205,29.173526251078894
7,95616.51460013987,-0.051655571863953725,0.051655571863953725,0.0,1617.363324815705,1910.9226030644159,9.574479207578406,0.0,0.0,9.574479207578406,8.513121085452097
8,95961.47955796892,-0.06539552254019323,0.051655571863953725,-0.01373995067623951,1550.6170623886171,1992.017685834504,-4.774341135422219,0.0,17.819362169684542,13.045021034262323,11.983662912136014
9,95749.68760192768,-0.05685630746616288,0.051655571863953725,-0.0052007356022091555,1587.103377234298,1936.6017786929042,14.155251160496846,0.0,6.879127564188886,21.03437872468573,19.97302060255942
10,95993.91017154678,-0.0665595115050733,0.051655571863953725,-0.014903939641119579,1539.533529353424,1993.37075402424,4.956123710035172,0.0,19.494584059947837,24.45070776998301,23.389349647856697
11,95784.77989272545,-0.05812615716638994,0.051655571863953725,-0.006470585302436216,1575.347085531563,1938.5301469345236,23.983174621612307,0.0,8.69183991336363,32.675014534975936,31.613656412849625
